apm,camera_events,castles,cavalry_units,chat_messages,commands,control_groups,duration_seconds,econ_structures,first_castle_minute,first_cavalry_minute,first_econ_structure_minute,first_infantry_minute,first_prod_structure_minute,first_ranged_minute,first_siege_minute,first_static_defense_minute,first_upgrade_minute,first_wall_gate_minute,infantry_units,kills,kl_ratio,leave_seconds,losses,map_name,name,pings,player_id,player_index,production_structures,ranged_units,replay_id,result,role_label,siege_units,source_name,static_defense,structures_done,team_id,units_born,upgrades,walls_gates
3.8,2561,9,1,1,142,34,2247,12,20.017,1.117,1.917,,6.95,17.433,24.583,20.017,1.133,,0,141,0.81,1998,174,Age of Knights,Zigorath,0,4,3,20,147,e9672d475c544234,Undecided,Siege-support player,123,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (9).SC2Replay,9,30,0,265,24,0
6.4,2715,6,23,0,238,0,2247,28,25.2,1.117,2.7,7.183,6.333,14.0,33.033,15.45,0.0,,96,211,0.812,2068,260,Age of Knights,Johan,0,5,4,30,85,e9672d475c544234,Undecided,Mass-production support,19,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (9).SC2Replay,19,68,1,352,53,0
2.1,776,0,37,8,78,6,2247,15,,1.117,2.4,,6.667,13.2,,,1.133,,0,0,0.0,1202,12,Age of Knights,Dankski,0,6,5,5,11,e9672d475c544234,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (9).SC2Replay,0,18,1,81,9,0
2.1,1144,1,15,5,79,0,2247,6,23.933,1.117,1.75,,5.917,,,23.933,1.133,,0,6,0.136,1554,44,Age of Knights,RoCkITMaN,0,7,6,6,0,e9672d475c544234,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (9).SC2Replay,1,11,1,63,11,0
4.2,2772,2,15,0,156,0,2247,16,16.75,1.117,2.817,22.95,5.417,,21.7,10.5,1.133,10.5,25,224,1.931,2043,116,Age of Knights,Delta,0,8,7,7,0,e9672d475c544234,Undecided,Mixed/support,2,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (9).SC2Replay,16,35,1,135,27,5
5.4,3531,2,1,0,153,24,1693,24,20.433,1.55,2.75,10.267,8.4,,,5.383,0.0,,223,356,2.132,,167,Age of Knights,FANTASTIC,0,1,0,31,0,ea92aa84ef6bf3af,Undecided,Mass-production support,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (10).SC2Replay,13,63,0,346,45,0
5.2,3903,1,133,0,146,503,1693,26,22.567,1.55,3.817,,5.9,,,9.15,0.0,18.817,0,142,1.203,,118,Age of Knights,EMPTY,0,2,1,16,0,ea92aa84ef6bf3af,Undecided,Cavalry pressure / mobile carry,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (10).SC2Replay,6,46,0,225,27,3
5.6,2556,0,1,0,157,29,1693,9,,1.55,2.25,6.117,5.633,,,4.05,0.0,5.817,26,20,0.27,1350,74,Age of Knights,FeniksRU,0,3,2,5,0,ea92aa84ef6bf3af,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (10).SC2Replay,20,33,1,78,20,15
7.5,3392,1,57,0,211,10,1693,13,27.3,1.55,2.733,8.35,6.783,,,4.117,0.0,,112,105,0.404,,260,Age of Knights,Nemilosrdny,0,4,3,16,0,ea92aa84ef6bf3af,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (10).SC2Replay,32,59,1,286,27,0
2.3,1342,0,1,0,66,0,1693,6,,1.55,4.117,6.383,6.0,,,2.8,0.0,9.933,10,0,0.0,1193,3,Age of Knights,MattUK,0,5,4,4,0,ea92aa84ef6bf3af,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (10).SC2Replay,12,21,0,40,8,10
4.4,2476,1,18,0,125,87,1693,11,20.883,1.55,2.833,9.433,5.417,,,12.0,1.567,19.883,99,61,0.274,1693,223,Age of Knights,shermanator,0,6,5,18,0,ea92aa84ef6bf3af,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (10).SC2Replay,4,30,1,205,7,2
8.7,2114,0,10,19,221,105,1522,11,,1.55,4.45,8.133,7.75,13.95,22.667,9.05,0.0,17.367,13,46,0.793,,58,Age of Knights,RunoLight,0,1,0,10,10,eb2d4a7c4280691c,Undecided,Mixed/support,8,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (11).SC2Replay,10,30,0,104,42,1
6.3,2432,1,13,3,161,89,1522,6,22.417,1.55,4.433,6.617,6.217,12.45,,5.65,0.0,,31,72,1.091,,66,Age of Knights,SmelJey,0,2,1,9,27,eb2d4a7c4280691c,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (11).SC2Replay,10,23,0,118,16,0
4.8,2224,0,1,9,121,110,1522,12,,1.55,3.55,6.917,5.667,,,18.8,1.567,18.8,112,88,0.672,1522,131,Age of Knights,shermanator,0,3,2,11,0,eb2d4a7c4280691c,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (11).SC2Replay,3,24,1,179,20,3
1.6,796,0,0,0,41,0,1522,0,,,,,,,,,,,0,0,,,0,Age of Knights,Laszlo,0,4,3,0,0,eb2d4a7c4280691c,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,0,1,0,0,0
