castles,cavalry_units,commands,duration_seconds,econ_structures,infantry_units,kills,kl_ratio,losses,map_name,players,production_structures,ranged_units,replay_id,result,siege_units,source_name,static_defense,structures_done,style_label,team_id,units_born,upgrades,walls_gates
1,14,94,1667,16,18,61,0.587,104,Age of Knights,Devistator,6,17,3937906f9a644319,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,1,21,Mixed-composition team,2,114,24,0
0,1,116,1667,14,57,59,0.331,178,Age of Knights,Southern,13,35,3937906f9a644319,Loss,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,4,27,Ranged/firepower-heavy team,3,149,16,0
1,1,202,1667,10,61,166,1.612,103,Age of Knights,bedwarnoob,8,22,3937906f9a644319,Undecided,2,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,1,16,Infantry + firepower frontline team,4,170,24,0
1,1,242,1667,18,72,51,1.0,51,Age of Knights,Tofu,8,15,3937906f9a644319,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,15,38,Infantry-frontline-heavy team,5,179,38,2
0,1,10,2534,1,0,0,0.0,10,Age of Knights,TheMule,0,0,3d4fd38094996589,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (26).SC2Replay,0,1,Mobile cavalry-pressure team,0,19,13,0
0,1,12,2534,1,0,1,0.077,13,Age of Knights,Hallrunner,0,0,3d4fd38094996589,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (26).SC2Replay,0,1,Mobile cavalry-pressure team,1,20,10,0
0,0,199,2534,0,0,0,,0,Age of Knights,Southern,0,0,3d4fd38094996589,Win,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (26).SC2Replay,0,0,Mixed-composition team,3,0,0,0
11,1,237,2534,25,99,1,0.013,79,Age of Knights,Gumer,34,56,3d4fd38094996589,Undecided,18,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (26).SC2Replay,24,69,Infantry + firepower frontline team,4,223,40,0
5,58,940,2225,39,224,1343,2.901,463,Age of Knights,"iNtErCePt, shermanator, Matrixx, Karikaim",31,150,5b6744d813b4fead,Win,3,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (6).SC2Replay,61,119,Infantry + firepower frontline team,0,728,104,43
0,4,0,2225,37,794,378,0.253,1497,Age of Knights,"Player 5, Player 6, Player 7, Player 8",46,104,5b6744d813b4fead,Loss,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (6).SC2Replay,0,79,Infantry-frontline-heavy team,1,1403,20,0
17,457,1234,4457,75,86,1515,1.175,1289,Age of Knights,"shermanator, ScariLD, Actulot, Karikaim",85,609,ea571ca2bcc53ece,Win,425,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (7).SC2Replay,28,154,Ranged/firepower-heavy team,0,1566,144,0
3,5,843,4457,48,1080,1023,0.638,1604,Age of Knights,"Derek, luciano, Popmasato, walrus",38,1,ea571ca2bcc53ece,Undecided,14,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (7).SC2Replay,173,247,Infantry-frontline-heavy team,1,1336,71,26
6,102,574,1731,43,159,169,0.635,266,Age of Knights,"shermanator, LKJ, Massacre, Rebanik",38,78,99b69aeab1389863,Win,13,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (8).SC2Replay,43,114,Infantry + firepower frontline team,0,561,97,32
0,4,357,1731,24,103,172,0.835,206,Age of Knights,"Rnaglie, Blest, Acherus, Zergkiller",22,21,99b69aeab1389863,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (8).SC2Replay,3,45,Infantry-frontline-heavy team,1,291,79,2
19,354,631,2247,56,2,297,0.517,575,Age of Knights,"shermanator, Danadão, Dein, Zigorath",64,256,e9672d475c544234,Win,123,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (9).SC2Replay,62,157,Mobile cavalry-pressure team,0,876,96,37
9,90,551,2247,65,121,441,1.021,432,Age of Knights,"Johan, Dankski, RoCkITMaN, Delta",48,96,e9672d475c544234,Undecided,21,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (9).SC2Replay,36,132,Mixed-composition team,1,631,100,5
3,135,365,1693,56,233,498,1.729,288,Age of Knights,"FANTASTIC, EMPTY, MattUK",51,0,ea92aa84ef6bf3af,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (10).SC2Replay,31,130,Mobile cavalry-pressure team,0,611,80,13
2,76,493,1693,33,237,186,0.334,557,Age of Knights,"FeniksRU, Nemilosrdny, shermanator",39,0,ea92aa84ef6bf3af,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (10).SC2Replay,56,122,Infantry-frontline-heavy team,1,569,54,17
1,23,382,1522,17,44,118,0.952,124,Age of Knights,"RunoLight, SmelJey",19,37,eb2d4a7c4280691c,Undecided,8,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (11).SC2Replay,20,53,Mixed-composition team,0,222,58,1
0,1,162,1522,12,112,88,0.672,131,Age of Knights,"shermanator, Laszlo",11,0,eb2d4a7c4280691c,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/2-S2-1-8333926/Replays/Multiplayer/Age of Knights (11).SC2Replay,3,24,Infantry-frontline-heavy team,1,179,20,3
