cavalry_to_now,infantry_to_now,kills_to_now,losses_to_now,map_name,player_id,player_index,player_name,ranged_to_now,replay_id,result,siege_to_now,snapshot_minute,source_name,static_defense_to_now,structures_done_to_now,team_id,units_born_to_now,upgrades_to_now,walls_gates_to_now
1,64,0,153,Age of Knights,5,4,Player 5,8,6843f0df48c00171,Undecided,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,14,0,137,4,0
1,64,0,153,Age of Knights,5,4,Player 5,8,6843f0df48c00171,Undecided,0,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,14,0,137,4,0
1,64,0,153,Age of Knights,5,4,Player 5,8,6843f0df48c00171,Undecided,0,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,14,0,137,4,0
1,0,0,2,Age of Knights,6,5,Player 6,0,6843f0df48c00171,Undecided,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,3,0,20,1,0
1,18,0,12,Age of Knights,6,5,Player 6,0,6843f0df48c00171,Undecided,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,8,0,55,4,0
1,45,0,17,Age of Knights,6,5,Player 6,3,6843f0df48c00171,Undecided,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,15,0,109,4,0
1,85,0,186,Age of Knights,6,5,Player 6,12,6843f0df48c00171,Undecided,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,18,0,181,4,0
1,85,0,186,Age of Knights,6,5,Player 6,12,6843f0df48c00171,Undecided,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,18,0,181,4,0
1,85,0,186,Age of Knights,6,5,Player 6,12,6843f0df48c00171,Undecided,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,18,0,181,4,0
1,85,0,186,Age of Knights,6,5,Player 6,12,6843f0df48c00171,Undecided,0,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,18,0,181,4,0
